,Locations,March Europe,March Korea,March Japan,"YTD
Europe","YTD
Korea","YTD
Japan",Month,Year,latitude,longitude
211,Livorno,"13,141.00",0.00,0.00,"72,505.85",0.00,0.00,February,2022,43.548473,10.310567
212,Stuttgart,"1,97,752.40",0.00,0.00,"10,52,998.70",0.00,0.00,February,2022,48.775418,9.181759
213,Baumholder,"28,111.40",0.00,0.00,"1,46,475.00",0.00,0.00,February,2022,49.613889,7.333333
214,Ansbach,"44,246.90",0.00,0.00,"1,71,233.50",0.00,0.00,February,2022,49.300425,10.571936
215,Schinnen,"7,276.00",0.00,0.00,"30,117.60",0.00,0.00,February,2022,50.94028,5.87832
216,AFRC Edelweiss Lodge,"15,879.55",0.00,0.00,"80,616.75",0.00,0.00,February,2022,,
217,Hohenfels,"47,228.90",0.00,0.00,"2,99,699.35",0.00,0.00,February,2022,49.203278,11.849022
218,Naples Navy,"1,67,417.76",0.00,0.00,"3,98,125.16",0.00,0.00,February,2022,,
219,Sigonella Navy,"89,029.05",0.00,0.00,"2,45,658.25",0.00,0.00,February,2022,,
220,Rota Navy,"86,973.25",0.00,0.00,"3,58,881.85",0.00,0.00,February,2022,,
221,Souda Bay Navy,0.00,0.00,0.00,0.00,0.00,0.00,February,2022,,
